Video Name,Luminance Complexity,Color Complexity,Edge Density,Asymmetry of Object Arrangement,Irregularity of Object Arrangement,Visual Variety
-bueUljGJ2M,4.642915301671,15.39042587161,0.0444978298611111,0.0037948531155698,0.0340743571188661,0.18437683359013046
-gAZRN3SCBw,4.72866618995883,23.2631408413653,0.054022388599537,0.0106578151005581,0.0399760956380262,0.1917881623867134
-kI-vfyl2mo,4.69092341776792,39.2805474451697,0.0461380931712963,0.0070037635444702,0.0372563845622772,0.2714445026438795
-x__vh1H0dQ,3.87161350741545,16.0226714947676,0.0525310329861111,0.003828834689162,0.035380382218385,0.19597768894255654
1Lr4MRaOxhk,5.03995779100623,26.469854673043,0.0482557508680556,0.009626513682245,0.040395220358398,0.2974579108363483
1MXYI3ZKLqQ,4.54737876451162,14.5122711542035,0.0332736183449074,0.0051545953734607,0.0353595559346765,0.16431071225453356
1xA7ENrLtUw,4.84774581387736,49.8560327609771,0.0452343388310185,0.0110639643043209,0.0414465944366471,0.2828607233714126
4mPKDEfo0UM,4.67899469090364,24.6687570471253,0.0571064453125,0.0078320025281168,0.0376397624279777,0.19383300397496442
5L6juLUkwuw,4.58609837955957,27.9171729291258,0.0551180555555556,0.0074891705486812,0.0385970770552391,0.25768685912347195
5Od0aOse1wc,4.38768414362034,73.5975697418254,0.062257740162037,0.0138157122772877,0.0445000639273846,0.23705190967579698
5UiFkOJoP-8,5.01742185970246,24.8532752101967,0.070510814525463,0.0130687023739531,0.0431140980173683,0.25660661725917217
5YsxXj5kycs,3.88680676676626,16.5620503912459,0.0406659794560185,0.0072930451069834,0.0371491808734483,0.16419048901126107
62EB4JniuTc,3.89931233928052,17.3385023393622,0.0418389485677083,0.0028110041271834,0.0339197539118099,0.2923671686151018
6uLgF2K2n5M,3.49728003160744,9.91474468999857,0.0344464699074074,0.0020720641107179,0.0337417808536744,0.20740245926941603
6zolFHbtEew,4.80129021407252,30.6138140168355,0.0719389829282407,0.0148703232325224,0.0458148129348484,0.31842187969475755
73p4lL1iq7w,4.53674479864764,30.7583125726319,0.0612936197916667,0.0242269869081416,0.0534670652974236,0.19828263702079396
7BgcG_l9J0A,3.82466630307992,14.2488677004016,0.0372526041666667,0.0046006018693835,0.0362147831879182,0.2089346072061555
7ZUT9ftBWI8,4.82911996952409,19.1911203887259,0.0582527126736111,0.0078500383832463,0.0379614417867347,0.23164167926024545
7glIC7OaIro,4.75446588917148,26.4728006451844,0.0462360749421296,0.005645865790185,0.0360078146073352,0.27365262126462186
8Bsgj1ihEOg,5.07212531153229,18.7012926683309,0.0719467230902778,0.010931241799891,0.0413849931891529,0.24969915544573565
8C4DNSV3IRE,3.93396749303423,12.4549369861125,0.0460483579282407,0.0017761980059544,0.0331573406366902,0.23819732094408966
8btMI_N8v8U,4.02784946748279,16.2419829899246,0.0503919956140351,0.0033893096937795,0.0346781681684715,0.2881818551614561
8gatiYW5kWs,4.73797292281414,32.6312388715735,0.0802024739583333,0.0137514588773683,0.0416309483255178,0.31025765063990574
