id,publishedAt,channelId,title,channelTitle,tags,categoryId,duration,viewCount,likeCount,commentCount
F1dvX9Vs0ns,2024-02-11T23:45:31Z,UCq0OueAsdxH6b8nyAspwViw,Wicked - First Look,Universal Pictures,"['ariana grande', 'wicked trailer', 'ariana grande wicked', 'jeff goldblum', 'wicked movie', 'universal pictures', 'universal pictures wicked']",24,PT1M1S,5198575,120475,13993
BEkziTXz9Js,2024-02-08T05:00:08Z,UCsRdY9CtEVWTNO4ulwfzqVA,CrowdStrike | The Future | Extended Cut,CrowdStrike,"['CrowdStrike', 'cyber security', 'cybersecurity', 'cyber intrusion', 'endpoint protection', 'endpoint security', 'crowdstrike superbowl 2024', 'crowdstrike the future', 'cybersecurity superbowl 2024', 'cloud detection and response', 'data privacy', 'cloud security', 'cyber threat intelligence', 'cybersecurity artificial intelligence', 'crowdstrike falcon demo', 'data protection', 'ciso', 'data breaches', 'Falcon LogScale', 'super bowl ads 2024', 'niners vs chiefs super bowl lviii', 'super bowl lviii', 'crwd']",28,PT1M1S,73122,260,0
5UiFkOJoP-8,2024-02-02T13:02:14Z,UCde5lyhz54IYdyrbGA5F5rg,Tina Fey books whoever she wants to be | Booking.com 2024 Big Game ad,Booking.com,"['Superbowl', 'Hotel booking', 'booking.com', 'superbowl 2024', 'super bowl', 'superbowl commercial', 'Booking ad', 'Tina Fey', 'Glenn Close', 'Booking.yeah', 'NFL', 'Super bowl commercial', 'Super Bowl 2024']",19,PT31S,131391939,1469,131
g0D5MU6_0n0,2024-02-02T14:04:46Z,UC0uGC_EBwAxw3ljqeGjy2qw,Hard Knocks: A Dove Big Game Film | #KeepHerConfident,Dove US,"['#Dove', '#SuperbowlCommercials', '#Dove Ad', '#Dove Advertisement', '#Dove Commercial', '#Dove SuperBowl Ad', '#Dove Super Bowl Advertisement', '#Superbowl Commercials', '#Superbowl Ads', '#Top Super Bowl Commercials 2024', '#Top SuperBowlAds 2024']",29,PT31S,396573,1369,295
H3EsFtUCOno,2024-01-31T15:02:21Z,UCYrx7f8QvhZKKh7a0815UuA,Imagine a world where the twist of an OREO could change everything. Literally everything.,OREO Cookie,[],26,PT31S,1715269,448,67
1xA7ENrLtUw,2024-02-02T14:56:51Z,UCk7J8uoy0aVBDgQCw9YMlLg,Starry | Super Bowl 2024 | It’s Time To See Other Sodas,Starry,"['ice spice', 'ice spicee', 'starry', 'stary', 'starry lemon lime', 'starry soda', 'lemon lime soda', 'sprite', 'lemon lime sprite', 'sprite soda', 'lem and lime', 'lemon and lime', 'super bowl', 'super bowl 2024', 'soft drink', 'soda', 'drink', 'beverage', 'lemon soda', 'lime soda', 'deli']",22,PT31S,4079722,3923,315
Ej7fYDHlCbA,2024-02-05T15:00:04Z,UCnQdLSHPmjcDdT5whDBlHtQ,Coors Light Chill Train | Big Game Ad :30,Coors Light,[],1,PT31S,47184,93,11
SJa1oSgs8Gw,2024-02-11T17:11:14Z,UCq7OHvWO6Z3u-LztFdrcU-g,Despicable Me 4 - Minion Intelligence (Big Game Spot),Illumination,"['Minions', 'Movie', 'Trailer', 'Despicable Me', 'banana', 'kevin', 'bob', 'official', 'Minion', 'stuart', 'Illumination', 'Illumination Entertainment', 'minions', 'movie clip', 'minionnation', 'Big game ad', 'Super bowl', 'Minion made', 'Despicable me 4', 'Dm4', 'AI', 'Minion intelligence']",24,PT31S,2117432,13021,0
XZmMvVCcW0M,2024-02-02T14:44:04Z,UCztgL4XE-1dlmW1aSLmBPng,STōK Cold Brew Unleashes Sir Anthony Hopkins' Inner Wred Dragon,SToK Cold Brew,"['soccer', 'mascot', 'wrexham', 'wrexham afc', 'cold brew coffee', 'coffee', 'cold brew', 'stok cold brew', 'stok cold brew coffee', 'the big game', 'big game ads', 'sir anthony hopkins', 'anthony hopkins']",17,PT56S,283935,469,44
cXT8JgdvCHc,2024-02-01T14:57:17Z,UCrU8iuSBmgZUNUoU1-sYfbQ,Gift Mode: Etsy’s 2024 Big Game Commercial,Etsy,"['etsy', 'gift mode', 'the big game', 'gifting']",26,PT29S,380362,873,158
sfB-glrgn5o,2024-02-05T14:10:26Z,UCBSVw6f8KBFLn7r1cQsFhLw,"BMW USA | Christopher Walken in ""Talkin Like Walken"" (ft. Usher)",BMW USA,"['christopher walken', 'bmw 2024', 'bmw i5', 'bmw 5 series', 'luxury sedan', 'super bowl', 'super bowl commercial', 'bmw commercial', 'bmw usa', 'bmw', 'comedy commercial', 'luxury electric', 'usher']",2,PT1M1S,3759223,11130,779
aYvDdZZ_FQU,2024-02-05T14:00:46Z,UCZsJ3Wnkzbhw3StGShdWiDw,Pringles | Mr. P,Pringles U.S.,"['pringles', 'flavor stack', 'pringles stack', 'flavor stacking', 'get stacking']",20,PT31S,4194756,1475,86
YVeCwSWNLrM,2024-02-05T13:30:08Z,UCJWjiXxsH7Nb2354JHI4q0Q,That T-Mobile Home Internet Feeling | 2024 Big Game Day Commercial | T-Mobile Home Internet,T-Mobile,"['tmobile', 't-mobile', 't mobile', 'internet', 'wireless', '5G', 'home internet t mobile', '5G internet', 'mobile', 'phone', 'hotspot', 'internet speed', 't mobile phone', 'data plan', 't mobile internet', 't mobile international', 'home internet', 'smartphone', 'wireless brand', 'wireless network', '5G network', 'zach braff', 'donald faison', 'zach braff commercial', 'superbowl', 'superbowl ad', 'superbowl commercial', 'funny', 'game day', 'jason momoa', 'what a feeling', '2024 super bowl', '2024 super bowl commercials', 'new', 'tmobile home internet']",28,PT1M1S,56861388,8709,761
sOH23Pup6AQ,2024-02-05T15:00:46Z,UCc9-kl38p_uzQDVrT06VTxA,REESE'S Cups Big Game Commercial 2024 | Yes! :30,Reeses,[],24,PT31S,610322,2761,389
LOhNE2zCvEs,2024-02-11T18:16:01Z,UCx4287tWK7d49swYs7siHkQ,Cardi B x NYX Cosmetics 2024 Commercial (The Big Game Version),NYX Cosmetics,"['Makeup', 'makeup tutorial', 'NYXCosmetics', 'NYX Cosmetics', 'NYXPMU', 'NYX Professional Makeup', 'NYX']",24,PT32S,39543,275,41
9UBWFIArQxs,2024-02-06T12:57:48Z,UCWStqpgu1Pt3VhXCOGlmkkw,The M&M’S Almost Champions Ring of Comfort – :30 Super Bowl Ad,M&M'S,[],24,PT31S,414270,1296,90
pAdDi6G74mc,2024-02-06T14:27:52Z,UCsdqpqgsSFTRSnyyqHVSgyw,MTN DEW | Aubrey Plaza Having a Blast Super Bowl Ad,Mountain Dew,[],24,PT31S,3161354,5614,0
Y7mLeyIETu0,2024-02-11T13:00:15Z,UC1xnncYc7586km_rIYQLtLQ,DON'T FORGET UBER EATS,Uber Eats,"['uber super bowl', 'super bowl ads', 'super bowl ads 2024', 'super bowl ad 2024', 'best super bowl ads', 'Uber Eats Super Bowl', 'Super Bowl commercials 2024', 'David Schwimmer uber', 'David Schwimmer Uber Eats', 'David Schwimmer super bowl', 'Jennifer Aniston uber', 'Jennifer Aniston Uber Eats', 'Jennifer aniston super bowl', 'Usher uber', 'Usher Uber Eats', 'Usher Super Bowl', 'Usher halftime show', 'beckham uber', 'beckham uber eats', 'beckham super bowl', 'jelly roll super bowl', 'jelly roll uber']",2,PT1M1S,369089,2113,281
qQJyZseER6I,2024-02-05T14:59:29Z,UCOrEfQ0aa6Wro8UfK5gm5HA,Dina & Mita,Doritos Dinamita,[],22,PT1M1S,283280,1044,81
NBuB85VsZfI,2024-02-07T14:00:52Z,UCMvBjCzggK1Xd5TNBxVqZwA,NFL Sunday Ticket | Migration,YouTube TV,[],24,PT1M1S,673143,3892,321
kwUJq0DA0xo,2024-02-08T23:16:50Z,UCQAFPcPAmO6XuPOPqosGk9A,The Future of Soda is Now | Poppi Super Bowl LVIII 2024 Commercial,poppi,[],22,PT1M1S,162775,252,40
c04_GeQZFFw,2024-02-12T02:16:25Z,UC5vFx0GahDIWLMFm5j2_JZA,Big Game Commercial 2024 | Volkswagen,Volkswagen USA,[],2,PT1M1S,5121571,2772,888
6zolFHbtEew,2024-02-07T01:52:42Z,UCGQnsq2JN3hANZ9QU0nidUg,Skechers '24 Big Game Spot: Mr. T in Skechers,SKECHERS,[],26,PT31S,26683033,2118,102
SaCVSUbYpVc,2024-02-07T15:00:01Z,UCFtEEv80fQVKkD4h1PF-Xqw,Microsoft Game Day Commercial | Copilot: Your everyday AI companion,Microsoft,[],28,PT1M1S,16659935,4360,374
kjVf8ptmDmk,2024-02-07T12:00:44Z,UCYBe3cPCbjUManWo2Mg8tNg,In e.l.f we Trust | e.l.f Cosmetics Game Day Commercial 2024,e.l.f. Cosmetics,"['elf cosmetics', 'elf super bowl commercial', 'super bowl commercials', 'affordable makeup', 'ronald gladden', 'gina torres', 'rick hoffman', 'sarah rafferty', 'super bowl LVIII']",24,PT1M1S,3927384,2939,284
i4_Lat2hl3Q,2024-02-08T17:30:11Z,UCbp3o7U6oSa6s-LQBZvOnGg,Perfect 10: The Kia big game commercial featuring the 2024 Kia EV9 (:30),Kia America,"['kia', 'nfl', 'kia ev9', 'ev9', 'suvs', 'suv', 'kia suv', 'kia suvs', 'suv commercial', 'kia commercial', 'ev', 'kia ev', 'ev suv', 'electric suv', 'all electric suv', '3 row suv', 'super bowl commercial', '2024 super bowl', '2024 super bowl commercials', 'super bowl lviii', 'kia super bowl commercial', 'big game commercial', 'perfect 10']",2,PT41S,16120131,1855,29
fQ7Az_7pzDM,2024-02-08T13:59:47Z,UC1pOTJteEef10zJM0cHs4iQ,“Dareful Handle” | The all-new 2024 Tacoma | Toyota Super Bowl LVIII Commercial,Toyota USA,"['Toyota', 'Toyota USA', '2024 Toyota Tacoma', '2024 Toyota', '2024 Tacoma', '24 Toyota Tacoma', 'Best Pickup Truck', 'Toyota Truck', 'Pickup Truck', '24 Toyota', '24 Tacoma', 'toyota tacoma 2024', 'toyota tacoma', '2024 tacoma sr5', '2024 tacoma sr', '2024 tacoma off road', '2024 tacoma review', '2024 tacoma prerunner', '2024 tacoma trailhunter', '24 tacoma off road', 'toyota truck commercial', '24 tacoma review', 'best pickup truck for daily driving', 'best pickup truck for towing', 'best pickup truck 2024']",2,PT31S,225098,781,110
zo8PQgark7c,2024-02-06T12:27:47Z,UCBEZh6fiU1m_7uf3JnLObZQ,"""The Wait Is Over"" :60",Popeyes,[],24,PT1M1S,3985953,1938,151
OBcd8S0YYuU,2024-02-07T13:21:50Z,UCYNxoffNZ2fXLGggyhl8Yqg,Hello Down There - Directed by Martin Scorsese | Big Game Commercial 2024 | Squarespace,Squarespace,[],24,PT37S,9838535,4666,
Cl--5P79iRs,2024-02-06T13:33:31Z,UC1O6nGbccGhl2akEVaSpKsA,2024 BUD LIGHT SUPER BOWL COMMERCIAL | EASY NIGHT OUT | EASY TO DRINK EASY TO ENJOY :60,Bud Light,"['Bud Light', 'Bud Light Genie', 'Bud Light Super Bowl', 'beer ad', 'Super Bowl', 'light beer', 'beer', 'Steppenwolf', 'Magic Carpet Ride', 'UFC', 'Dana White', 'Peyton Manning', 'Post Malone', 'Post', 'T-Rex', 'dog', 'dogs', 'golden retriever', 'comedy', 'funny', 'magic', 'genie', 'wishes', 'ostrich race', 'ostrich', 'fire breathing', 'fire', 'gemini', 'horoscope', 'astrology', 'delorean']",10,PT1M1S,1110172,3004,
