Video Name,Luminance Complexity,Color Complexity,Edge Density,Asymmetry of Object Arrangement,Irregularity of Object Arrangement
-bueUljGJ2M,4.642915301671,15.39042587161,0.0444978298611111,0.00379485311556988,0.0340743571188661
-gAZRN3SCBw,4.72866618995883,23.2631408413653,0.054022388599537,0.0106578151005581,0.0399760956380262
-kI-vfyl2mo,4.69092341776792,39.2805474451697,0.0461380931712963,0.00700376354447023,0.0372563845622772
-x__vh1H0dQ,3.87161350741545,16.0226714947676,0.0525310329861111,0.00382883468916208,0.035380382218385
1Lr4MRaOxhk,5.03995779100623,26.469854673043,0.0482557508680556,0.009626513682245,0.040395220358398
1MXYI3ZKLqQ,4.54737876451162,14.5122711542035,0.0332736183449074,0.00515459537346079,0.0353595559346765
1xA7ENrLtUw,4.84774581387736,49.8560327609771,0.0452343388310185,0.0110639643043209,0.0414465944366471
4mPKDEfo0UM,4.67899469090364,24.6687570471253,0.0571064453125,0.00783200252811684,0.0376397624279777
5L6juLUkwuw,4.58609837955957,27.9171729291258,0.0551180555555556,0.00748917054868123,0.0385970770552391
5Od0aOse1wc,4.38768414362034,73.5975697418254,0.062257740162037,0.0138157122772877,0.0445000639273846
5UiFkOJoP-8,5.01742185970246,24.8532752101967,0.070510814525463,0.0130687023739531,0.0431140980173683
5YsxXj5kycs,3.88680676676626,16.5620503912459,0.0406659794560185,0.0072930451069834,0.0371491808734483
62EB4JniuTc,3.89931233928052,17.3385023393622,0.0418389485677083,0.00281100412718347,0.0339197539118099
6uLgF2K2n5M,3.49728003160744,9.91474468999857,0.0344464699074074,0.00207206411071792,0.0337417808536744
6zolFHbtEew,4.80129021407252,30.6138140168355,0.0719389829282407,0.0148703232325224,0.0458148129348484
73p4lL1iq7w,4.53674479864764,30.7583125726319,0.0612936197916667,0.0242269869081416,0.0534670652974236
7BgcG_l9J0A,3.82466630307992,14.2488677004016,0.0372526041666667,0.0046006018693835,0.0362147831879182
7ZUT9ftBWI8,4.82911996952409,19.1911203887259,0.0582527126736111,0.00785003838324637,0.0379614417867347
7glIC7OaIro,4.75446588917148,26.4728006451844,0.0462360749421296,0.00564586579018506,0.0360078146073352
8Bsgj1ihEOg,5.07212531153229,18.7012926683309,0.0719467230902778,0.010931241799891,0.0413849931891529
8C4DNSV3IRE,3.93396749303423,12.4549369861125,0.0460483579282407,0.00177619800595444,0.0331573406366902
8btMI_N8v8U,4.02784946748279,16.2419829899246,0.0503919956140351,0.00338930969377953,0.0346781681684715
8gatiYW5kWs,4.73797292281414,32.6312388715735,0.0802024739583333,0.0137514588773683,0.0416309483255178
8oBHRjnQCFE,3.96765252988259,18.3368248005245,0.045186451099537,0.00580990117760755,0.0369547588928908
94BqlDQ-Ppo,3.70725296876125,15.3422276894972,0.0718722873263889,0.00429732499189347,0.035642733313421
9UBWFIArQxs,4.69262004537565,29.7216996265657,0.0482778139467593,0.0140866887553316,0.0431926309029093
9cEiYQwYLPk,4.48326663257738,33.1410080107254,0.0592863498263889,0.00983326526815861,0.0404940908231567
